"Date","Incident/s","Incident Count","Tweet/s","Tweet Count"
"2018-04-19","[269.0, 270.0, 322.0, 378.0, 420.0, 478.0, 487.0, 507.0, 511.0]","9","[987082271625826304, 987067725834063874, 987056799525363712, 987032930269712386, 986972202095407104, 986959237514280965]","6"
"2018-04-20","[505.0, 506.0]","2","[987387999079026688, 987374593173262337]","2"
"2018-04-21","[292.0, 293.0, 294.0, 295.0, 296.0, 297.0, 348.0, 362.0, 464.0, 492.0, 502.0, 503.0, 510.0]","13","[987790892491780096, 987612360943833088, 987601586565234688]","3"
"2018-04-22","[303.0, 467.0, 499.0]","3","[987992095729356801, 987859559153881090]","2"
"2018-04-23","[320.0, 323.0, 334.0, 342.0, 367.0, 380.0, 383.0, 740.0]","8","[]","0"
"2018-04-24","[319.0, 321.0, 325.0, 326.0, 333.0, 337.0, 343.0, 364.0, 468.0, 479.0, 481.0, 490.0]","12","[988799945800110080, 988788683275948033, 988772887598370821, 988712018021572608, 988707121712812032]","5"
"2018-04-25","[336.0, 341.0, 347.0, 349.0, 365.0, 368.0]","6","[]","0"
"2018-04-26","[313.0, 338.0, 489.0]","3","[989539587839029248, 989434306807455744, 989340522060824578]","3"
"2018-04-27","[304.0, 311.0, 385.0, 486.0, 512.0]","5","[]","0"
"2018-04-28","[302.0, 310.0, 335.0, 344.0, 345.0, 346.0, 350.0, 387.0, 388.0, 469.0]","10","[990330061004849152, 990154286716801026, 990139314402086912, 990129368751058944]","4"
"2018-04-29","[317.0, 318.0, 328.0, 330.0, 339.0, 357.0, 386.0, 389.0]","8","[990581899323236352, 990515589180461056]","2"
"2018-04-30","[]","0","[991001373859708928, 990892888622972928, 990864578572529664, 990852753692950529]","4"
"2018-05-01","[1.0, 2.0, 3.0, 8.0, 9.0, 10.0, 11.0, 15.0, 31.0, 39.0]","10","[991389108110053377]","1"
"2018-05-02","[12.0, 13.0, 16.0, 51.0, 52.0, 97.0, 114.0, 115.0, 116.0, 117.0, 118.0, 119.0]","12","[991633142422237184]","1"
"2018-05-03","[17.0, 46.0, 48.0, 54.0, 93.0, 94.0, 120.0, 167.0]","8","[992039527660376064]","1"
"2018-05-04","[62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 95.0, 132.0, 134.0, 588.0]","13","[]","0"
"2018-05-05","[37.0, 38.0, 60.0, 96.0, 200.0]","5","[992867553847410688]","1"
"2018-05-06","[33.0, 41.0, 89.0, 127.0, 177.0, 199.0]","6","[993199786705670144, 993070640931442688]","2"
"2018-05-07","[25.0, 55.0, 61.0, 71.0, 73.0, 74.0, 105.0, 106.0, 124.0, 126.0, 157.0]","11","[993488942711296000, 993460938400350208]","2"
"2018-05-08","[20.0, 21.0, 22.0, 23.0, 130.0]","5","[993775993482432513]","1"
"2018-05-09","[56.0, 57.0, 102.0, 103.0, 107.0, 108.0, 121.0, 129.0, 137.0, 174.0, 175.0]","11","[994243220333875200]","1"
"2018-05-10","[]","0","[994660002613907456, 994555989293584384, 994494973289680901]","3"
"2018-05-11","[]","0","[994996251975389184, 994944301011529729]","2"
"2018-05-12","[]","0","[]","0"
"2018-05-13","[]","0","[995558262761111554]","1"
"2018-05-14","[]","0","[996097960273465353, 996095879730774024]","2"
"2018-05-15","[]","0","[996434462144712705, 996346265586692097, 996330877901668353, 996317835843588096]","4"
"2018-05-16","[]","0","[996790604523716609, 996752711763738624]","2"
"2018-05-17","[]","0","[997226699233353729, 997052102818938880]","2"
"2018-05-18","[123.0, 173.0]","2","[]","0"
"2018-05-19","[58.0, 90.0, 151.0, 171.0, 172.0]","5","[997949418455388161, 997887109196206080]","2"
"2018-05-20","[154.0, 197.0, 198.0]","3","[998257930834243584, 998117889944178689]","2"
"2018-05-21","[80.0, 81.0, 82.0, 83.0, 111.0, 112.0, 148.0, 155.0, 156.0]","9","[998655584403681280]","1"
"2018-05-22","[78.0, 79.0, 92.0, 113.0]","4","[998817692642676736, 998798182443245568]","2"
"2018-05-23","[77.0, 110.0, 122.0]","3","[999260274845597697]","1"
"2018-05-24","[209.0]","1","[999690259804942336, 999580209824325632, 999512051348320256]","3"
"2018-05-25","[195.0, 208.0]","2","[1000033251652587520, 999966371483078656, 999954546913820673, 999891359317151744]","4"
"2018-05-26","[75.0, 191.0, 192.0, 206.0, 207.0]","5","[]","0"
"2018-05-27","[84.0, 85.0, 86.0, 188.0, 193.0]","5","[]","0"
"2018-05-28","[140.0, 141.0, 142.0, 143.0, 144.0, 145.0, 146.0, 147.0, 158.0, 159.0, 160.0, 162.0, 163.0, 176.0, 204.0]","15","[1001188585742131201, 1001128900255256577, 1001075722407022593, 1001073597618819072]","4"
"2018-05-29","[87.0, 138.0, 139.0, 165.0, 166.0, 194.0, 203.0]","7","[1001413198988365824, 1001393276690169856, 1001381864630665217]","3"
"2018-05-30","[135.0, 178.0, 179.0]","3","[1001933089587712000]","1"
"2018-05-31","[136.0, 182.0, 183.0, 184.0, 185.0, 186.0]","6","[1002263893492879361, 1002060773127057408]","2"
"2018-06-01","[]","0","[1002626232335454208, 1002471879662362625]","2"
